Name,Grade,Test Score,Attendance,Assignment Score,Participation,Project Score,Lab Score,Final Exam,Total Score
Alice Johnson,10,92.5,95%,88.2,90%,85.6,94%,91.8,89.4
Bob Smith,8,78.3,90%,75.6,88%,79.2,82%,78.4,77.1
Catherine Brown,11,88.9,92%,90.1,94%,92.7,89%,87.5,89.6
David Miller,9,85.2,88%,82.3,91%,88.9,85%,83.6,84.2
Emma Davis,12,95.7,98%,94.5,96%,93.2,97%,96.4,95.8
Frank Wilson,7,72.8,85%,68.7,80%,75.1,78%,76.3,74.2
Grace Taylor,10,91.4,93%,89.8,92%,91.5,90%,88.7,90.1
Henry Jones,8,79.6,87%,76.4,85%,80.2,81%,79.8,78.7
Isabel White,11,87.1,91%,85.9,89%,87.3,88%,86.1,87.5
James Anderson,9,84.3,89%,81.7,86%,83.4,84%,82.2,83.6
Alice Johnson,10,92.5,95%,88.2,90%,85.6,94%,91.8,89.4
Bob Smith,8,78.3,90%,75.6,88%,79.2,82%,78.4,77.1
Catherine Brown,11,88.9,92%,90.1,94%,92.7,89%,87.5,89.6
David Miller,9,85.2,88%,82.3,91%,88.9,85%,83.6,84.2
Emma Davis,12,95.7,98%,94.5,96%,93.2,97%,96.4,95.8
Frank Wilson,7,72.8,85%,68.7,80%,75.1,78%,76.3,74.2
Grace Taylor,10,91.4,93%,89.8,92%,91.5,90%,88.7,90.1
Henry Jones,8,79.6,87%,76.4,85%,80.2,81%,79.8,78.7
Isabel White,11,87.1,91%,85.9,89%,87.3,88%,86.1,87.5
James Anderson,9,84.3,89%,81.7,86%,83.4,84%,82.2,83.6

